A36	97.643858	-27.100647	74.924924	0.601822	-0.310193	0.735929
A225	-68.291983	-91.759344	-42.870467	-0.418544	-0.906945	0.047652
A195	79.159534	-88.348561	-34.574673	0.600585	-0.791699	-0.111852
A30	-28.734843	-44.575863	100.162232	-0.101644	-0.462402	0.880825
A109	-70.029938	-73.291584	55.135739	-0.526660	-0.724296	0.445000
A172	-2.114696	-106.014177	-9.771328	0.120115	-0.992525	-0.021608
A108	-84.638111	-58.391431	57.322102	-0.669816	-0.568101	0.478129
A81	-8.872926	-83.342663	67.882130	0.087583	-0.818833	0.567310
A171	-23.987401	-108.153791	-7.341072	0.093536	-0.995068	-0.033012
A218	-117.494600	48.541578	-33.094369	-0.880061	0.444623	0.166742
A173	19.108552	-103.695498	-13.168069	0.086892	-0.994415	-0.059923
A201	-108.265805	57.692121	-13.928487	-0.828583	0.542207	0.139503
A74	-87.154281	19.917328	80.980806	-0.686217	0.182832	0.704045
A29	-47.314280	-27.120969	102.198092	-0.308385	-0.290227	0.905906
A164	-118.120228	13.279919	22.114486	-0.974733	0.132997	0.179464
A205	-117.904650	-33.247054	-15.373591	-0.933460	-0.331609	0.136706
A232	-10.354036	111.551711	-60.301033	0.101977	0.994519	0.023049
A69	-9.280158	80.881346	72.468486	0.082120	0.776130	0.625202
A157	-2.979155	108.877892	-3.418172	0.086938	0.995468	0.038548
A97	9.390741	94.099604	45.502008	0.127002	0.911194	0.391914
A217	-104.241919	68.126488	-33.918314	-0.765991	0.624480	0.152588
A101	-68.957499	73.106822	59.906904	-0.503710	0.694970	0.513121
A124	112.729643	65.895382	6.222196	0.747330	0.664070	0.022569
A40	80.697321	58.168622	69.400737	0.436577	0.578193	0.689271
A123	126.057396	46.833997	3.892970	0.885720	0.463855	0.018429
A153	85.139822	87.434244	-9.992624	0.483826	0.875051	-0.014085
A178	61.722716	99.137318	-28.528058	0.360053	0.932898	-0.007989
A1	-4.252061	-1.953840	111.485607	0.121893	-0.048922	0.991337
A179	42.285970	100.243082	-27.048884	0.116023	0.992969	0.023504
A33	38.657213	-46.812671	89.203858	0.204447	-0.507166	0.837248
A147	49.966958	-95.756446	11.732112	0.138483	-0.986967	0.081970
A117	94.191899	-75.383846	26.564291	0.546626	-0.802417	0.239433
A148	74.417408	-89.820251	8.259313	0.363005	-0.930218	0.054045
A87	114.570606	-45.478670	43.322841	0.764996	-0.512530	0.389992
A89	134.807996	0.064223	23.777173	0.976863	-0.012794	0.213485
A243	-80.365315	-85.837690	-60.169120	-0.509107	-0.857631	0.072648
A119	124.122545	-43.162290	24.416046	0.862293	-0.456341	0.219550
A52	-41.848194	-57.582930	89.585070	-0.214927	-0.573563	0.790464
A142	-57.486816	-90.966599	31.436858	-0.388916	-0.893667	0.223839
